train_set,test_set,failure_idx,RUL_min,thr_low,thr_med,thr_high,mean_error,std_error
1st_test,1st_test,2061,930,4.0238886867882684e-05,5.4599979193881154e-05,6.896107515785843e-05,1.1516698577906936e-05,9.574062460160349e-06
1st_test,2nd_test,979,40,0.006533480249345303,0.009265703149139881,0.01199792604893446,0.0010690338676795363,0.0018214820884168148
1st_test,3rd_test,6310,130,0.0027198095340281725,0.0037363646551966667,0.004752920009195805,0.0006866990006528795,0.0006777034723199904
2nd_test,1st_test,None,None,0.0010151172755286098,0.0014056245563551784,0.001796131837181747,0.00023410271387547255,0.0002603381872177124
2nd_test,2nd_test,None,None,0.0002573479141574353,0.0003451577795203775,0.00043296764488331974,8.172819070750847e-05,5.853991024196148e-05
2nd_test,3rd_test,6247,760,0.00018779808306135237,0.00026028670254163444,0.00033277529291808605,4.2820869566639885e-05,4.832573904423043e-05
3rd_test,1st_test,None,None,0.000510337355080992,0.0007121729431673884,0.0009140085312537849,0.00010666622983990237,0.00013455704902298748
3rd_test,2nd_test,979,40,0.0002898882084991783,0.0004191818879917264,0.000548475596588105,3.130085315206088e-05,8.619578875368461e-05
3rd_test,3rd_test,None,None,8.336162136401981e-05,0.00011603394523262978,0.0001487062545493245,1.8016991816693917e-05,2.1781545001431368e-05
